epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,647.516,0.64879,0.54472,1.02197,0.87128,0.5097,0.54993,0.41021,1.38895,1.91189,1.57412,0.00016345,0.00016345,0.00016345
171,650.958,0.63305,0.55038,1.02034,0.89303,0.50093,0.55092,0.4051,1.42199,1.97784,1.59835,0.0001585,0.0001585,0.0001585
172,654.671,0.64201,0.53931,0.99794,0.89772,0.5097,0.54989,0.39398,1.43258,1.96503,1.62501,0.00015355,0.00015355,0.00015355
173,658.109,0.62207,0.52339,1.0067,0.86288,0.5097,0.54531,0.39065,1.43898,1.90869,1.66798,0.0001486,0.0001486,0.0001486
174,661.593,0.62248,0.52489,0.99211,0.87121,0.5008,0.54885,0.39855,1.45755,1.9672,1.68438,0.00014365,0.00014365,0.00014365
175,665.051,0.62643,0.54368,1.00483,0.87668,0.50851,0.55257,0.40074,1.45452,2.00574,1.64801,0.0001387,0.0001387,0.0001387
176,668.496,0.63473,0.5288,0.99206,0.87412,0.50671,0.55388,0.39994,1.42942,1.97483,1.59626,0.00013375,0.00013375,0.00013375
177,671.973,0.60802,0.51832,0.97715,0.86839,0.50137,0.55632,0.41203,1.39649,1.94109,1.53718,0.0001288,0.0001288,0.0001288
178,676.321,0.61966,0.52462,0.99733,0.84764,0.50626,0.55673,0.41135,1.39216,1.93127,1.52924,0.00012385,0.00012385,0.00012385
179,683.295,0.63389,0.52354,1.00217,0.85122,0.50069,0.54567,0.40021,1.41964,1.93972,1.58865,0.0001189,0.0001189,0.0001189
180,689.077,0.62134,0.51877,0.99246,0.84861,0.50802,0.53884,0.39364,1.43942,1.99013,1.63263,0.00011395,0.00011395,0.00011395
181,692.742,0.61474,0.52467,0.99282,0.85186,0.49794,0.53801,0.39075,1.44026,2.0217,1.62733,0.000109,0.000109,0.000109
182,696.203,0.60498,0.51201,0.98011,0.84791,0.51241,0.5487,0.406,1.40603,1.92157,1.61113,0.00010405,0.00010405,0.00010405
183,699.67,0.62526,0.52349,1.00463,0.8755,0.5123,0.55571,0.4012,1.43445,1.95807,1.62137,9.91e-05,9.91e-05,9.91e-05
184,703.122,0.6224,0.52271,1.00234,0.85062,0.52455,0.56092,0.40749,1.42895,1.97078,1.59977,9.415e-05,9.415e-05,9.415e-05
185,706.561,0.61508,0.52495,0.98511,0.85714,0.5034,0.56187,0.40982,1.42096,1.96588,1.58745,8.92e-05,8.92e-05,8.92e-05
186,710.017,0.60886,0.52598,1.00207,0.83067,0.5034,0.56569,0.40995,1.41851,1.99115,1.61449,8.425e-05,8.425e-05,8.425e-05
187,713.454,0.61392,0.51085,0.9891,0.83765,0.50946,0.56274,0.4109,1.42468,1.98432,1.62142,7.93e-05,7.93e-05,7.93e-05
188,716.892,0.60629,0.50709,0.99631,0.84246,0.50946,0.56267,0.41064,1.43025,2.01395,1.61862,7.435e-05,7.435e-05,7.435e-05
189,721.716,0.60106,0.49436,0.99007,0.85165,0.50264,0.55768,0.40743,1.43014,2.01502,1.61812,6.94e-05,6.94e-05,6.94e-05
190,728.931,0.58991,0.50146,0.99493,0.84203,0.49963,0.548,0.40289,1.41704,1.9677,1.62824,6.445e-05,6.445e-05,6.445e-05
191,736.174,0.57208,0.46323,0.98994,0.85621,0.5034,0.53972,0.39152,1.437,1.97611,1.65657,5.95e-05,5.95e-05,5.95e-05
192,739.637,0.52317,0.41549,0.95718,0.86934,0.5034,0.54449,0.3956,1.47123,2.02022,1.67457,5.455e-05,5.455e-05,5.455e-05
193,743.073,0.50696,0.39271,0.9451,0.87892,0.51847,0.55648,0.39738,1.46511,1.95982,1.63362,4.96e-05,4.96e-05,4.96e-05
194,746.501,0.47768,0.37816,0.94429,0.88142,0.51768,0.56199,0.39949,1.4646,1.97286,1.63434,4.465e-05,4.465e-05,4.465e-05
195,749.92,0.48014,0.36928,0.93886,0.87749,0.5142,0.5562,0.39991,1.45085,1.9673,1.64025,3.97e-05,3.97e-05,3.97e-05
196,753.384,0.47541,0.37175,0.92541,0.86691,0.51241,0.55921,0.40567,1.44244,1.98768,1.63744,3.475e-05,3.475e-05,3.475e-05
197,757.047,0.46039,0.36493,0.91925,0.85972,0.51241,0.55774,0.40232,1.44672,1.94938,1.63054,2.98e-05,2.98e-05,2.98e-05
198,760.464,0.46042,0.3651,0.92451,0.85104,0.50336,0.55769,0.40595,1.43835,1.95609,1.62337,2.485e-05,2.485e-05,2.485e-05
199,763.9,0.46758,0.36901,0.93106,0.83701,0.50325,0.55749,0.40905,1.43755,1.97586,1.62463,1.99e-05,1.99e-05,1.99e-05
200,767.328,0.4683,0.36691,0.9331,0.83181,0.5034,0.55751,0.41123,1.43922,1.9743,1.6293,1.495e-05,1.495e-05,1.495e-05
