epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,157.623,1.17271,1.44596,1.32688,0.63536,0.46673,0.45886,0.286,1.6258,2.29469,1.65179,0.00079705,0.00079705,0.00079705
43,161.102,1.12169,1.30938,1.2853,0.84057,0.43754,0.5088,0.33066,1.52526,1.89564,1.64848,0.0007921,0.0007921,0.0007921
44,164.576,1.08747,1.2736,1.25079,0.5835,0.43063,0.45399,0.28321,1.57705,2.39192,1.60325,0.00078715,0.00078715,0.00078715
45,168.056,1.10794,1.26804,1.27098,0.61618,0.46121,0.48987,0.32752,1.56765,2.22047,1.65204,0.0007822,0.0007822,0.0007822
46,171.547,1.07879,1.2194,1.25032,0.59156,0.41198,0.43908,0.27729,1.68035,2.58807,1.75574,0.00077725,0.00077725,0.00077725
47,175.06,1.09417,1.25306,1.26045,0.78331,0.47718,0.49154,0.32224,1.55317,1.91375,1.61391,0.0007723,0.0007723,0.0007723
48,178.563,1.10927,1.28625,1.27827,0.69657,0.47787,0.48613,0.33216,1.58362,2.03098,1.71846,0.00076735,0.00076735,0.00076735
49,182.062,1.10076,1.30528,1.2917,0.76519,0.44699,0.46457,0.31693,1.62219,2.05905,1.8133,0.0007624,0.0007624,0.0007624
50,185.787,1.10656,1.28524,1.27861,0.87458,0.46121,0.52225,0.36624,1.44681,1.83632,1.58863,0.00075745,0.00075745,0.00075745
51,189.286,1.04803,1.22214,1.24375,0.76733,0.48612,0.50712,0.32905,1.55312,2.0402,1.64317,0.0007525,0.0007525,0.0007525
52,192.744,1.07277,1.17381,1.22825,0.80508,0.44025,0.48316,0.33991,1.53521,2.03967,1.64747,0.00074755,0.00074755,0.00074755
53,196.26,1.05537,1.17528,1.23562,0.697,0.38766,0.41059,0.27298,1.63055,2.39182,1.76158,0.0007426,0.0007426,0.0007426
54,199.714,1.0787,1.21061,1.25142,0.73965,0.49273,0.49922,0.33646,1.56472,2.13117,1.61648,0.00073765,0.00073765,0.00073765
55,203.167,1.00622,1.14878,1.218,0.88801,0.42985,0.48806,0.33454,1.57564,2.24687,1.5631,0.0007327,0.0007327,0.0007327
56,206.648,1.06417,1.18183,1.24553,0.75832,0.4802,0.4913,0.33729,1.5168,1.93782,1.55866,0.00072775,0.00072775,0.00072775
57,210.105,1.04102,1.16089,1.25019,0.84789,0.48857,0.5265,0.35845,1.49217,1.8182,1.54514,0.0007228,0.0007228,0.0007228
58,213.802,1.02647,1.13429,1.2184,0.83297,0.50364,0.53506,0.35989,1.50753,1.73938,1.53691,0.00071785,0.00071785,0.00071785
59,217.275,1.0247,1.12962,1.22179,0.83464,0.49463,0.52277,0.36028,1.49457,1.73873,1.52661,0.0007129,0.0007129,0.0007129
60,220.761,1.02206,1.11575,1.23262,0.84382,0.40062,0.46621,0.31937,1.61731,2.15796,1.7632,0.00070795,0.00070795,0.00070795
61,224.235,1.01043,1.08314,1.2055,0.78699,0.51257,0.5399,0.36229,1.56472,1.92655,1.68875,0.000703,0.000703,0.000703
62,227.724,0.98275,1.09152,1.19672,0.87706,0.47326,0.52167,0.3509,1.50631,1.82112,1.57977,0.00069805,0.00069805,0.00069805
63,231.198,1.02957,1.10858,1.23032,0.82779,0.49144,0.50773,0.32691,1.54476,1.7803,1.67078,0.0006931,0.0006931,0.0006931
64,234.677,1.0381,1.13089,1.23154,0.80466,0.49769,0.51613,0.34299,1.51648,1.68888,1.62947,0.00068815,0.00068815,0.00068815
65,238.156,1.02381,1.09825,1.23129,0.88616,0.51536,0.55252,0.37639,1.48212,1.67417,1.5637,0.0006832,0.0006832,0.0006832
66,241.935,1.04372,1.13929,1.22605,0.70591,0.51109,0.50999,0.33383,1.56918,1.87525,1.64649,0.00067825,0.00067825,0.00067825
67,245.525,0.97119,1.08385,1.19407,0.83153,0.46318,0.5164,0.34737,1.52793,1.92959,1.66193,0.0006733,0.0006733,0.0006733
68,249.043,0.94183,1.04835,1.18655,0.65283,0.2816,0.31251,0.22215,1.58807,2.6693,1.63145,0.00066835,0.00066835,0.00066835
69,252.52,1.00534,1.08732,1.22639,0.71737,0.45541,0.46434,0.31089,1.61511,2.08832,1.64399,0.0006634,0.0006634,0.0006634
70,255.991,0.98069,1.07245,1.2131,0.8028,0.50087,0.51906,0.3588,1.51613,1.76476,1.57458,0.00065845,0.00065845,0.00065845
71,259.824,1.00345,1.05107,1.22216,0.82192,0.48291,0.52778,0.37656,1.49393,1.74291,1.62426,0.0006535,0.0006535,0.0006535
72,263.685,0.9657,1.00785,1.19772,0.71602,0.41919,0.43716,0.29584,1.57915,2.35863,1.74236,0.00064855,0.00064855,0.00064855
73,267.434,0.92586,0.94394,1.1562,0.80027,0.44906,0.46669,0.31766,1.61035,1.94242,1.77624,0.0006436,0.0006436,0.0006436
74,271.248,0.93279,0.99587,1.16485,0.77605,0.48868,0.50207,0.35424,1.46753,1.82462,1.57891,0.00063865,0.00063865,0.00063865
75,276.002,0.97068,1.00736,1.20183,0.82324,0.49758,0.54379,0.36681,1.58345,1.83934,1.61357,0.0006337,0.0006337,0.0006337
76,279.872,0.98767,1.04328,1.21744,0.82886,0.4862,0.53371,0.36879,1.54092,1.93588,1.60866,0.00062875,0.00062875,0.00062875
77,283.602,0.93951,0.99959,1.17966,0.80855,0.51847,0.54548,0.36982,1.51537,1.82124,1.65319,0.0006238,0.0006238,0.0006238
78,287.049,0.93438,0.96008,1.17323,0.90235,0.49352,0.52353,0.35775,1.50944,1.82035,1.63906,0.00061885,0.00061885,0.00061885
79,290.649,0.89904,0.90754,1.14349,0.79538,0.52221,0.54989,0.36811,1.52383,1.71234,1.60106,0.0006139,0.0006139,0.0006139
80,294.304,0.92051,0.95559,1.15521,0.71463,0.47923,0.48451,0.33034,1.52754,2.10872,1.5939,0.00060895,0.00060895,0.00060895
81,298.095,0.90101,0.91425,1.15146,0.8668,0.45532,0.5056,0.34326,1.58975,2.09367,1.70427,0.000604,0.000604,0.000604
82,301.972,0.92507,0.9457,1.16534,0.82867,0.50898,0.52963,0.37603,1.51996,1.85315,1.64092,0.00059905,0.00059905,0.00059905
83,305.985,0.91385,0.9389,1.1594,0.75828,0.5034,0.52917,0.36217,1.55534,1.9721,1.69418,0.0005941,0.0005941,0.0005941
